CPUUtilization,DiskReadOps,DiskWriteOps,NetworkIn,NetworkOut
82.84,971,1344,46281.0,7785.0
73.29,690,771,9868.0,38823.0
85.36,828,1294,42147.0,12186.0
60.19,1394,1477,49298.0,39191.0
59.87,1368,1004,42977.0,39040.0
75.69,1017,1156,34894.0,31668.0
29.37,772,890,3570.0,18476.0
60.33,1322,1434,29690.0,23545.0
26.42,799,714,23582.0,30373.0
73.3,940,1186,4264.0,19303.0
29.68,1393,1303,29917.0,40978.0
65.16,1376,707,17583.0,34184.0
65.53,965,997,31687.0,32961.0
34.04,1379,1345,16869.0,36660.0
57.79,1129,1382,1749.0,32033.0
28.79,1286,1105,17439.0,7764.0
85.76,796,793,49567.0,19112.0
75.43,717,1481,41641.0,9331.0
39.09,511,608,28989.0,40376.0
69.31,1138,1037,25070.0,35385.0
76.81,830,736,26792.0,35898.0
53.52,504,589,40598.0,7961.0
45.91,742,1498,20941.0,4422.0
84.28,890,1056,47342.0,28985.0
77.26,936,1337,30778.0,34831.0
64.59,1136,1396,10602.0,17754.0
51.33,576,811,43503.0,34607.0
16.78,1037,974,18776.0,30451.0
20.82,1380,1476,38840.0,43280.0
43.52,810,732,7096.0,29663.0
70.06,1361,1144,14562.0,37804.0
31.17,501,1266,44905.0,10196.0
27.77,1063,649,23653.0,19214.0
33.76,580,980,5115.0,37003.0
65.68,1047,749,5867.0,28129.0
25.58,1125,564,12427.0,37690.0
59.47,1254,1172,45610.0,8004.0
18.36,940,1107,31819.0,42043.0
57.74,923,1462,31839.0,5570.0
75.22,825,734,42347.0,46123.0
84.73,1465,837,30858.0,20069.0
41.1,1427,586,31063.0,18027.0
89.69,635,1034,18440.0,25806.0
77.1,1103,513,39357.0,12290.0
63.15,761,906,18762.0,27312.0
38.94,1498,908,12105.0,23947.0
23.33,1055,1430,24268.0,11235.0
29.93,929,1344,39516.0,38445.0
69.67,1443,503,2133.0,39757.0
11.83,726,1278,20923.0,38298.0
29.4,1332,530,21927.0,29301.0
33.96,1313,981,45651.0,15447.0
17.9,1326,1233,3423.0,29328.0
36.05,1098,724,34982.0,34440.0
21.12,1442,1444,41190.0,10336.0
71.37,1479,519,1107.0,16780.0
89.56,620,1050,7870.0,6898.0
56.66,860,849,5364.0,15042.0
15.54,1441,969,48027.0,28772.0
71.58,587,912,5640.0,32845.0
67.26,1227,686,15449.0,33320.0
29.5,1339,1017,41278.0,35995.0
27.49,1167,886,3947.0,13411.0
62.72,1423,1355,46213.0,13643.0
55.16,905,905,37388.0,38226.0
47.65,769,950,48161.0,13394.0
15.74,1405,593,36537.0,46529.0
16.87,864,843,23131.0,14326.0
20.05,889,1447,14011.0,26150.0
83.48,1477,984,7057.0,32267.0
72.97,1427,739,37321.0,29815.0
77.46,1048,1474,23356.0,26380.0
55.02,746,685,36617.0,46475.0
18.88,959,648,48595.0,24275.0
89.68,558,652,17824.0,35724.0
34.92,1261,616,31548.0,11647.0
75.77,737,1456,41965.0,18251.0
68.12,909,1437,13493.0,25508.0
18.86,506,821,41871.0,2065.0
34.14,572,1173,21013.0,2507.0
19.11,1047,833,36883.0,44421.0
89.61,559,1306,33343.0,11300.0
62.57,1076,889,47314.0,26891.0
26.16,685,724,8378.0,46382.0
81.96,1340,1160,42468.0,12917.0
57.22,619,1455,31552.0,18014.0
65.23,1360,1273,16517.0,28218.0
65.97,625,714,26261.0,5474.0
69.24,601,898,26322.0,25364.0
89.17,803,1144,41101.0,12478.0
